fecha;vehiculo;km
4/5/2026;F18 L414878;0.0
12/1/2026;F08 L-317155;3945.64
9/4/2026;F06 L-203996;2795.87
3/2/2026;F09 L-398325;4996.41
4/5/2026;F03 L-498909;0.0
4/5/2026;F14 L-542690;0.0
20/4/2026;F13 L-221088;1035.14
4/5/2026;F04 L-513338;0.0
3/3/2026;F07 L-354367;3080.0
20/4/2026;F12 L-084939;2475.62
4/5/2026;F16 L-525222;0.0
4/5/2026;F10 L-533582;0.0
20/4/2026;F11 L-033457;0.15
29/4/2026;F02 L-246218;113.63
28/4/2026;F05 L-111600;121.13
2026-05-05;F18 L414878;511.85
2026-05-05;F08 L-317155;0.0
2026-05-05;F06 L-203996;37.55
2026-05-05;F09 L-398325;745.02
2026-05-05;F03 L-498909;36.45
2026-05-05;F14 L-542690;371.41
2026-05-05;F13 L-221088;33.24
2026-05-05;F04 L-513338;0.02
2026-05-05;F12 L-084939;387.68
2026-05-05;F07 L-354367;0.0
2026-05-05;F16 L-525222;216.54
2026-05-05;F10 L-533582;74.82
2026-05-05;F11 L-033457;0.0
2026-05-05;F02 L-246218;36.24
2026-05-05;F05 L-111600;32.6
